flow,lighthouse
0.01,0.0017985720187425613
0.01,0.0031428211368620396
0.01,0.004364638589322567
0.01,0.005613003857433796
0.017,0.008205139078199863
0.017,0.009850898757576942
0.017,0.012240177020430565
0.017,0.013994645327329636
0.017,0.018908195197582245
0.029,0.020679928362369537
0.029,0.024376552551984787
0.029,0.02658383920788765
0.029,0.028850369155406952
0.042,0.03182462230324745
0.042,0.03727096691727638
0.042,0.039698101580142975
0.042,0.04324747994542122
0.059,0.04574187099933624
0.059,0.05085436999797821
0.059,0.05377468466758728
0.059,0.05680631101131439
0.079,0.06409425288438797
0.079,0.06693445146083832
0.079,0.07020020484924316
0.079,0.07280509918928146
0.079,0.07596904784440994
0.088,0.08186528831720352
0.088,0.0818898156285286
0.088,0.08571290224790573
0.088,0.08879006654024124
0.093,0.09273730963468552
0.093,0.09580675512552261
0.093,0.09883096814155579
0.093,0.10189594328403473
0.111,0.10610675811767578
0.111,0.10607491433620453
0.111,0.10702690482139587
0.111,0.11156512051820755
0.123,0.11279898881912231
0.123,0.11741989105939865
0.123,0.11742835491895676
0.123,0.12026341259479523
0.123,0.12308679521083832
0.136,0.12859384715557098
0.136,0.1306750327348709
0.136,0.1337205171585083
0.136,0.13475316762924194
0.148,0.13931094110012054
0.148,0.14079055190086365
0.148,0.14370961487293243
0.148,0.14570707082748413
0.164,0.15139101445674896
0.164,0.15361665189266205
0.164,0.1568729728460312
0.164,0.16020937263965607
0.172,0.1635717898607254
0.172,0.16899210214614868
0.172,0.17264817655086517
0.172,0.17639178037643433
0.172,0.18003343045711517
0.186,0.18453343212604523
0.186,0.18847864866256714
0.186,0.1924995481967926
0.186,0.1965717226266861
0.204,0.20185387134552002
0.204,0.20613141357898712
0.204,0.21041421592235565
0.204,0.21486075222492218
0.222,0.2202414870262146
0.222,0.2247820794582367
0.222,0.22935332357883453
0.222,0.23399312794208527
0.222,0.23863418400287628
0.238,0.24308352172374725
0.238,0.24447068572044373
0.238,0.24901054799556732
0.238,0.25360822677612305
0.258,0.2584178149700165
0.258,0.26306214928627014
0.258,0.267719566822052
0.258,0.2685762345790863
0.279,0.27307167649269104
0.279,0.27771973609924316
0.279,0.28229108452796936
0.279,0.2861868739128113
0.303,0.29077503085136414
0.303,0.29774555563926697
0.303,0.3021374046802521
0.303,0.306551992893219
0.303,0.31123819947242737
0.322,0.31733736395835876
0.322,0.32219186425209045
0.322,0.3269312381744385
0.322,0.33176204562187195
0.341,0.33777952194213867
0.341,0.34261202812194824
0.341,0.3475816547870636
0.341,0.35256320238113403
0.361,0.3575022518634796
0.361,0.36359703540802
0.361,0.3685792088508606
0.361,0.37115931510925293
0.361,0.37609511613845825
0.384,0.38242483139038086
0.384,0.38738927245140076
0.384,0.3923359513282776
0.384,0.39724674820899963
0.401,0.40180790424346924
0.401,0.40662866830825806
0.401,0.41139912605285645
0.401,0.41612938046455383
0.424,0.4218023717403412
0.424,0.4264996647834778
0.424,0.431141197681427
0.424,0.4349839389324188
0.448,0.4394981861114502
0.448,0.44592177867889404
0.448,0.45042893290519714
0.448,0.4539673924446106
0.448,0.4582993686199188
0.462,0.46240293979644775
0.462,0.4665996730327606
0.462,0.4707321524620056
0.462,0.47479867935180664
0.486,0.4808068871498108
0.486,0.48486337065696716
0.486,0.4888530671596527
0.486,0.4927738308906555
0.497,0.4948974549770355
0.497,0.49907392263412476
0.497,0.5020828247070312
0.497,0.5055750608444214
0.497,0.5088920593261719
0.516,0.5123580098152161
0.516,0.515329122543335
0.516,0.5180438160896301
0.516,0.5210177898406982
0.525,0.5238319039344788
0.525,0.5268185138702393
0.525,0.529717206954956
0.525,0.5326374769210815
0.538,0.5357600450515747
0.538,0.5384450554847717
0.538,0.5409346222877502
0.538,0.5434788465499878
0.553,0.5468686819076538
0.553,0.549369752407074
0.553,0.5516096353530884
0.553,0.5540823340415955
0.553,0.5564188957214355
0.559,0.5591288208961487
0.559,0.5613824725151062
0.559,0.563725471496582
0.559,0.5658918619155884
0.571,0.5687400698661804
0.571,0.5708563923835754
0.571,0.5729280710220337
0.571,0.5749616026878357
0.58,0.5776383280754089
0.58,0.5796224474906921
0.58,0.5815905928611755
0.58,0.583484411239624
0.591,0.585342288017273
0.591,0.5882320404052734
0.591,0.5899150371551514
0.591,0.5916670560836792
0.591,0.5933097004890442
0.594,0.5951341986656189
0.594,0.596705973148346
0.594,0.5984107255935669
0.594,0.5998444557189941
0.602,0.6015002727508545
0.602,0.6029068827629089
0.602,0.6021355986595154
0.602,0.6032629609107971
0.61,0.60531085729599
0.61,0.6063293218612671
0.61,0.6074720621109009
0.61,0.6085631251335144
0.616,0.6096156239509583
0.616,0.6114830374717712
0.616,0.6125105023384094
0.616,0.6133009195327759
0.616,0.6142237186431885
0.618,0.6155068874359131
0.618,0.6163861155509949
0.618,0.6171814203262329
0.618,0.6179934144020081
0.623,0.6195070743560791
0.623,0.6203153729438782
0.623,0.6210188865661621
0.623,0.6217523813247681
0.627,0.6224287152290344
0.627,0.6240715980529785
0.627,0.6247435212135315
0.627,0.6254304051399231
0.627,0.626067042350769
0.626,0.6267136335372925
0.626,0.6272696256637573
0.626,0.6278576254844666
0.626,0.6284658312797546
0.627,0.6285046339035034
0.627,0.629146158695221
0.627,0.6296449303627014
0.627,0.6302859783172607
0.633,0.6313068866729736
0.633,0.6318963766098022
0.633,0.632388174533844
0.633,0.6329481601715088
0.635,0.6337964534759521
0.635,0.6343308091163635
0.635,0.6348151564598083
0.635,0.6352887749671936
0.639,0.6357499957084656
0.639,0.6370980739593506
0.639,0.637593150138855
0.639,0.6380910873413086
0.639,0.6385561227798462
0.635,0.6380648016929626
0.635,0.6343148946762085
0.635,0.6344714164733887
0.635,0.6347087025642395
0.639,0.6356227397918701
0.639,0.6356008648872375
0.639,0.635660707950592
0.639,0.6358886957168579
0.64,0.6366297602653503
0.64,0.6367321610450745
0.64,0.636738121509552
0.64,0.6370834112167358
0.639,0.637589693069458
0.639,0.6378306746482849
0.639,0.6378332376480103
0.639,0.6381840705871582
0.639,0.6384221315383911
0.645,0.6397461295127869
0.645,0.6400594711303711
0.645,0.6402222514152527
0.645,0.6401937007904053
0.645,0.6411205530166626
0.645,0.6414461135864258
0.645,0.6416519284248352
0.645,0.641960620880127
0.648,0.6434652209281921
0.648,0.6438657641410828
0.648,0.6442667841911316
0.648,0.6436695456504822
0.65,0.645192563533783
0.65,0.6448404788970947
0.65,0.6451796293258667
0.65,0.6455109119415283
0.648,0.6463428139686584
0.648,0.6467018723487854
0.648,0.6470473408699036
0.648,0.6473925113677979
0.648,0.6472432017326355
0.65,0.6481853723526001
0.65,0.6481472253799438
0.65,0.6484484076499939
0.65,0.6483836770057678
0.653,0.64885413646698
0.653,0.6491116285324097
0.653,0.6489604115486145
0.653,0.6491307616233826
0.654,0.6501342058181763
0.654,0.6503815054893494
0.654,0.6501749157905579
0.654,0.6503745317459106
0.656,0.6512253880500793
0.656,0.6514642834663391
0.656,0.6516947746276855
0.656,0.6519173383712769
0.654,0.6521686315536499
0.654,0.6523736715316772
0.654,0.6523931622505188
0.654,0.6525658965110779
0.654,0.6527454257011414
0.656,0.6529499888420105
0.656,0.652861475944519
0.656,0.6528458595275879
0.656,0.6528661847114563
0.662,0.6542138457298279
0.662,0.6540900468826294
0.662,0.6542862057685852
0.662,0.6541945338249207
0.66,0.655017614364624
0.66,0.6547893285751343
0.66,0.6549527049064636
0.66,0.6548804640769958
0.66,0.6558408737182617
0.66,0.6560202240943909
0.66,0.6559422612190247
0.66,0.6556935906410217
0.659,0.6557484865188599
0.659,0.6560802459716797
0.659,0.6562063694000244
0.659,0.6563284993171692
0.659,0.6564438343048096
0.661,0.6571440696716309
0.661,0.6572766304016113
0.661,0.6571320295333862
0.661,0.657224178314209
0.661,0.657781183719635
0.661,0.6575571298599243
0.661,0.6576448082923889
0.661,0.6576524376869202
0.662,0.6581261157989502
0.662,0.6582100987434387
0.662,0.6580939292907715
0.662,0.658012330532074
0.665,0.6588937640190125
0.665,0.6589782238006592
0.665,0.6590659618377686
0.665,0.6589648723602295
0.662,0.6592068076133728
0.662,0.6592789888381958
0.662,0.6590447425842285
0.662,0.6590911149978638
0.662,0.6589159369468689
0.663,0.6596086025238037
0.663,0.6594375967979431
0.663,0.6592339873313904
0.663,0.6592493057250977
0.661,0.6595434546470642
0.661,0.6593943238258362
0.661,0.6594126224517822
0.661,0.6593626737594604
0.663,0.6599721908569336
0.663,0.6600271463394165
0.663,0.660076379776001
0.663,0.6599359512329102
0.664,0.6606406569480896
0.664,0.6607153415679932
0.664,0.6607818603515625
0.664,0.660569429397583
0.666,0.6606053113937378
0.666,0.6613221168518066
0.666,0.6611170172691345
0.666,0.6611818075180054
0.666,0.6610624194145203
0.67,0.6619694232940674
0.67,0.6617727875709534
0.67,0.6613814234733582
0.67,0.6614254117012024
0.664,0.6616176962852478
0.664,0.6616482734680176
0.664,0.6614044904708862
0.664,0.6613227725028992
0.667,0.6619634628295898
0.667,0.6618234515190125
0.667,0.6618052124977112
0.667,0.6617760062217712
0.667,0.6627958416938782
0.667,0.6625498533248901
0.667,0.6625582575798035
0.667,0.6625676155090332
0.664,0.6625734567642212
0.664,0.6626880764961243
0.664,0.6626894474029541
0.664,0.6626827120780945
0.664,0.6626659035682678
0.667,0.6638783812522888
0.667,0.6639410257339478
0.667,0.6639926433563232
0.667,0.664032518863678
0.667,0.6640641689300537
0.667,0.6640986800193787
0.667,0.6634882092475891
0.667,0.6621019840240479
0.669,0.6627790331840515
0.669,0.6619119048118591
0.669,0.6617838144302368
0.669,0.6616492867469788
0.666,0.6623663902282715
0.666,0.662268877029419
0.666,0.661643922328949
0.666,0.6615043878555298
0.666,0.6612534523010254
0.666,0.6610966920852661
0.666,0.6610938906669617
0.666,0.6603631377220154
0.666,0.6603631377220154
0.664,0.6607330441474915
0.664,0.6607367396354675
0.664,0.6605117917060852
0.664,0.6605117917060852
0.665,0.6614817380905151
0.665,0.6614531874656677
0.665,0.661401629447937
0.665,0.6605924367904663
0.666,0.6617211699485779
0.666,0.6610881090164185
0.666,0.6610410809516907
0.666,0.6606159210205078
0.663,0.6610087156295776
0.663,0.6609878540039062
0.663,0.6609495878219604
0.663,0.6606306433677673
0.662,0.6605308651924133
0.662,0.6606190800666809
0.662,0.6605758666992188
0.662,0.660374641418457
0.662,0.6603339314460754
0.66,0.6602200865745544
0.66,0.6601384282112122
0.66,0.6600769758224487
0.66,0.6590337157249451
0.662,0.6594336628913879
0.662,0.6590151190757751
0.662,0.6589176654815674
0.662,0.6586616635322571
0.663,0.6592440009117126
0.663,0.6590898633003235
0.663,0.6590405106544495
0.663,0.6589462757110596
0.665,0.6598958373069763
0.665,0.6598166227340698
0.665,0.6598358750343323
0.665,0.6598100662231445
0.665,0.6598449349403381
0.665,0.6608072519302368
0.665,0.6609231233596802
0.665,0.661043107509613
0.665,0.6611143946647644
0.663,0.6615885496139526
0.663,0.6617271304130554
0.663,0.6617971062660217
0.663,0.6605374217033386
0.666,0.6613129377365112
0.666,0.6612309813499451
0.666,0.6610668897628784
0.666,0.6610576510429382
0.665,0.6615825295448303
0.665,0.6615142226219177
0.665,0.66139155626297
0.665,0.6614214777946472
0.667,0.6624193787574768
0.667,0.6623633503913879
0.667,0.6624921560287476
0.667,0.6626192331314087
0.67,0.6633619666099548
0.67,0.6635363698005676
0.67,0.6637070178985596
0.67,0.6638802289962769
0.67,0.663438081741333
0.668,0.6643437147140503
0.668,0.6645345091819763
0.668,0.6647268533706665
0.668,0.664923906326294
0.668,0.6658999919891357
0.668,0.665360689163208
0.668,0.6647669076919556
0.668,0.6648852825164795
0.667,0.6651604771614075
0.667,0.6652944087982178
0.667,0.6649835109710693
0.667,0.6650901436805725
0.671,0.6659479737281799
0.671,0.6660909652709961
0.671,0.6662269234657288
0.671,0.6663530468940735
0.674,0.666480541229248
0.674,0.6675772070884705
0.674,0.6677497625350952
0.674,0.6679326891899109
0.674,0.6672003269195557
0.675,0.6685113906860352
0.675,0.6687132120132446
0.675,0.6689070463180542
0.675,0.669101893901825
0.674,0.670360267162323
0.674,0.6706318259239197
0.674,0.6708860397338867
0.674,0.6694433093070984
0.675,0.670422375202179
0.675,0.6700004935264587
0.675,0.6701493859291077
0.675,0.6702890992164612
0.675,0.6705566048622131
0.675,0.6709455847740173
0.675,0.671109676361084
0.675,0.6708944439888
0.677,0.6710343956947327
0.677,0.6723083853721619
0.677,0.6725209951400757
0.677,0.672736644744873
0.677,0.6729477643966675
0.677,0.6742099523544312
0.677,0.6744909882545471
0.677,0.6732410788536072
0.677,0.6734121441841125
0.676,0.6734994649887085
0.676,0.6736613512039185
0.676,0.6735310554504395
0.676,0.6736757159233093
0.679,0.6744648814201355
0.679,0.674630880355835
0.679,0.6731825470924377
0.679,0.6732504367828369
0.679,0.6737991571426392
0.679,0.6738824248313904
0.679,0.6736751198768616
0.679,0.6737449765205383
0.679,0.6736087799072266
0.676,0.6740195751190186
0.676,0.6739363074302673
0.676,0.6740289926528931
0.676,0.6741378307342529
0.679,0.67495197057724
0.679,0.6749402284622192
0.679,0.6750983595848083
0.679,0.6752276420593262
0.68,0.6761698722839355
0.68,0.6764127612113953
0.68,0.6766749620437622
0.68,0.6771360635757446
0.682,0.6781554818153381
0.682,0.6781322956085205
0.682,0.6784935593605042
0.682,0.678807258605957
0.685,0.6800723075866699
0.685,0.6802985668182373
0.685,0.6807321310043335
0.685,0.6808608770370483
0.683,0.6812854409217834
0.683,0.6820285320281982
